iter	Passed	Remaining
0	71	3483
1	142	3426
2	211	3307
3	281	3236
4	357	3219
5	425	3121
6	500	3073
7	574	3016
8	645	2942
9	740	2961
10	837	2968
11	935	2962
12	1029	2929
13	1110	2856
14	1184	2763
15	1259	2676
16	1332	2587
17	1404	2496
18	1481	2416
19	1557	2336
20	1628	2249
21	1701	2166
22	1776	2085
23	1847	2001
24	1920	1920
25	1995	1842
26	2070	1763
27	2145	1685
28	2221	1608
29	2293	1528
30	2365	1449
31	2439	1372
32	2511	1293
33	2585	1216
34	2659	1139
35	2732	1062
36	2815	989
37	2911	919
38	3005	847
39	3098	774
40	3189	700
41	3262	621
42	3337	543
43	3417	465
44	3495	388
45	3573	310
46	3646	232
47	3717	154
48	3791	77
49	3868	0
